loaded dump dir: .\src\Benchmark\RegressionCases\coverage  (803 samples)  iters=1

sample                                              min    p50    p95    avg    max  (us)
----------------------------------------------------------------------------------------------------
0                                                 min= 1555  p50= 1555  p95= 1555  avg= 1555  max= 1555  (us, n=1)
1                                                 min= 4772  p50= 4772  p95= 4772  avg= 4772  max= 4772  (us, n=1)
10                                                min= 1081  p50= 1081  p95= 1081  avg= 1081  max= 1081  (us, n=1)
100                                               min= 2281  p50= 2281  p95= 2281  avg= 2281  max= 2281  (us, n=1)
101                                               min= 1301  p50= 1301  p95= 1301  avg= 1301  max= 1301  (us, n=1)
102                                               min= 1104  p50= 1104  p95= 1104  avg= 1104  max= 1104  (us, n=1)
103                                               min=  496  p50=  496  p95=  496  avg=  496  max=  496  (us, n=1)
104                                               min= 5942  p50= 5942  p95= 5942  avg= 5942  max= 5942  (us, n=1)
105                                               min= 4727  p50= 4727  p95= 4727  avg= 4727  max= 4727  (us, n=1)
106                                               min=  547  p50=  547  p95=  547  avg=  547  max=  547  (us, n=1)
10647                                             min= 2023  p50= 2023  p95= 2023  avg= 2023  max= 2023  (us, n=1)
10648                                             min= 2361  p50= 2361  p95= 2361  avg= 2361  max= 2361  (us, n=1)
10649                                             min=14467  p50=14467  p95=14467  avg=14467  max=14467  (us, n=1)
10650                                             min=14622  p50=14622  p95=14622  avg=14622  max=14622  (us, n=1)
10651                                             min=14881  p50=14881  p95=14881  avg=14881  max=14881  (us, n=1)
10652                                             min=14692  p50=14692  p95=14692  avg=14692  max=14692  (us, n=1)
10653                                             min=14896  p50=14896  p95=14896  avg=14896  max=14896  (us, n=1)
10654                                             min=14358  p50=14358  p95=14358  avg=14358  max=14358  (us, n=1)
10667                                             min= 4784  p50= 4784  p95= 4784  avg= 4784  max= 4784  (us, n=1)
10668                                             min= 2720  p50= 2720  p95= 2720  avg= 2720  max= 2720  (us, n=1)
10669                                             min=11083  p50=11083  p95=11083  avg=11083  max=11083  (us, n=1)
10670                                             min=10648  p50=10648  p95=10648  avg=10648  max=10648  (us, n=1)
10671                                             min=10180  p50=10180  p95=10180  avg=10180  max=10180  (us, n=1)
10672                                             min=10155  p50=10155  p95=10155  avg=10155  max=10155  (us, n=1)
10673                                             min= 5308  p50= 5308  p95= 5308  avg= 5308  max= 5308  (us, n=1)
10674                                             min=  842  p50=  842  p95=  842  avg=  842  max=  842  (us, n=1)
10675                                             min=13677  p50=13677  p95=13677  avg=13677  max=13677  (us, n=1)
10676                                             min=13989  p50=13989  p95=13989  avg=13989  max=13989  (us, n=1)
10677                                             min=13654  p50=13654  p95=13654  avg=13654  max=13654  (us, n=1)
107                                               min= 5361  p50= 5361  p95= 5361  avg= 5361  max= 5361  (us, n=1)
108                                               min= 1258  p50= 1258  p95= 1258  avg= 1258  max= 1258  (us, n=1)
1088                                              min=  721  p50=  721  p95=  721  avg=  721  max=  721  (us, n=1)
109                                               min= 4137  p50= 4137  p95= 4137  avg= 4137  max= 4137  (us, n=1)
1091                                              min=  706  p50=  706  p95=  706  avg=  706  max=  706  (us, n=1)
1093                                              min=  792  p50=  792  p95=  792  avg=  792  max=  792  (us, n=1)
11                                                min=  840  p50=  840  p95=  840  avg=  840  max=  840  (us, n=1)
110                                               min= 2203  p50= 2203  p95= 2203  avg= 2203  max= 2203  (us, n=1)
1109                                              min=  628  p50=  628  p95=  628  avg=  628  max=  628  (us, n=1)
111                                               min= 1123  p50= 1123  p95= 1123  avg= 1123  max= 1123  (us, n=1)
112                                               min= 2161  p50= 2161  p95= 2161  avg= 2161  max= 2161  (us, n=1)
113                                               min=  968  p50=  968  p95=  968  avg=  968  max=  968  (us, n=1)
114                                               min=  952  p50=  952  p95=  952  avg=  952  max=  952  (us, n=1)
115                                               min=  352  p50=  352  p95=  352  avg=  352  max=  352  (us, n=1)
116                                               min= 5464  p50= 5464  p95= 5464  avg= 5464  max= 5464  (us, n=1)
117                                               min= 4820  p50= 4820  p95= 4820  avg= 4820  max= 4820  (us, n=1)
118                                               min=  475  p50=  475  p95=  475  avg=  475  max=  475  (us, n=1)
119                                               min= 5465  p50= 5465  p95= 5465  avg= 5465  max= 5465  (us, n=1)
1193                                              min=  761  p50=  761  p95=  761  avg=  761  max=  761  (us, n=1)
1194                                              min=  715  p50=  715  p95=  715  avg=  715  max=  715  (us, n=1)
11953                                             min= 1607  p50= 1607  p95= 1607  avg= 1607  max= 1607  (us, n=1)
12                                                min=  418  p50=  418  p95=  418  avg=  418  max=  418  (us, n=1)
120                                               min=  918  p50=  918  p95=  918  avg=  918  max=  918  (us, n=1)
121                                               min= 4132  p50= 4132  p95= 4132  avg= 4132  max= 4132  (us, n=1)
122                                               min= 2440  p50= 2440  p95= 2440  avg= 2440  max= 2440  (us, n=1)
123                                               min= 1003  p50= 1003  p95= 1003  avg= 1003  max= 1003  (us, n=1)
124                                               min= 2157  p50= 2157  p95= 2157  avg= 2157  max= 2157  (us, n=1)
125                                               min=  855  p50=  855  p95=  855  avg=  855  max=  855  (us, n=1)
126                                               min=  810  p50=  810  p95=  810  avg=  810  max=  810  (us, n=1)
127                                               min=  331  p50=  331  p95=  331  avg=  331  max=  331  (us, n=1)
128                                               min= 5596  p50= 5596  p95= 5596  avg= 5596  max= 5596  (us, n=1)
129                                               min= 4837  p50= 4837  p95= 4837  avg= 4837  max= 4837  (us, n=1)
13                                                min= 5625  p50= 5625  p95= 5625  avg= 5625  max= 5625  (us, n=1)
130                                               min=  408  p50=  408  p95=  408  avg=  408  max=  408  (us, n=1)
1300                                              min=  754  p50=  754  p95=  754  avg=  754  max=  754  (us, n=1)
131                                               min= 5347  p50= 5347  p95= 5347  avg= 5347  max= 5347  (us, n=1)
132                                               min=  912  p50=  912  p95=  912  avg=  912  max=  912  (us, n=1)
133                                               min= 4034  p50= 4034  p95= 4034  avg= 4034  max= 4034  (us, n=1)
134                                               min= 1884  p50= 1884  p95= 1884  avg= 1884  max= 1884  (us, n=1)
135                                               min= 1027  p50= 1027  p95= 1027  avg= 1027  max= 1027  (us, n=1)
1351                                              min=  581  p50=  581  p95=  581  avg=  581  max=  581  (us, n=1)
1353                                              min=  699  p50=  699  p95=  699  avg=  699  max=  699  (us, n=1)
1354                                              min=  658  p50=  658  p95=  658  avg=  658  max=  658  (us, n=1)
1355                                              min=  669  p50=  669  p95=  669  avg=  669  max=  669  (us, n=1)
