loaded dump dir: .\src\Benchmark\RegressionCases\perf  (1402 samples)  iters=20

sample                                              min    p50    p95    avg    max  (us)
----------------------------------------------------------------------------------------------------
1000                                              min=  649  p50=  714  p95= 1048  avg=  741  max= 1048  (us, n=20)
1001                                              min=  709  p50=  761  p95=  878  avg=  769  max=  878  (us, n=20)
1002                                              min=  657  p50=  728  p95=  834  avg=  727  max=  834  (us, n=20)
1003                                              min=  702  p50=  811  p95= 1043  avg=  830  max= 1043  (us, n=20)
1004                                              min=  736  p50=  818  p95=  966  avg=  830  max=  966  (us, n=20)
1005                                              min=  528  p50=  765  p95=  944  avg=  778  max=  944  (us, n=20)
1006                                              min=  524  p50=  760  p95=  989  avg=  748  max=  989  (us, n=20)
1007                                              min=  665  p50=  778  p95= 1093  avg=  809  max= 1093  (us, n=20)
1008                                              min=  675  p50=  722  p95=  934  avg=  740  max=  934  (us, n=20)
1009                                              min=  685  p50=  738  p95=  939  avg=  750  max=  939  (us, n=20)
1010                                              min=  685  p50=  710  p95= 1012  avg=  749  max= 1012  (us, n=20)
1011                                              min=  689  p50=  744  p95=  992  avg=  752  max=  992  (us, n=20)
1012                                              min=  451  p50=  722  p95=  971  avg=  714  max=  971  (us, n=20)
1013                                              min=  628  p50=  718  p95=  791  avg=  714  max=  791  (us, n=20)
1014                                              min=  682  p50=  739  p95=  822  avg=  732  max=  822  (us, n=20)
1015                                              min=  456  p50=  706  p95=  772  avg=  675  max=  772  (us, n=20)
1016                                              min=  451  p50=  776  p95=  912  avg=  741  max=  912  (us, n=20)
1017                                              min=  623  p50=  742  p95=  808  avg=  732  max=  808  (us, n=20)
1018                                              min=  652  p50=  726  p95=  791  avg=  729  max=  791  (us, n=20)
1019                                              min=  699  p50=  752  p95=  974  avg=  786  max=  974  (us, n=20)
1020                                              min=  627  p50=  751  p95=  811  avg=  745  max=  811  (us, n=20)
1021                                              min=  687  p50=  740  p95=  898  avg=  754  max=  898  (us, n=20)
1022                                              min=  448  p50=  689  p95=  961  avg=  670  max=  961  (us, n=20)
1023                                              min=  439  p50=  745  p95= 1006  avg=  667  max= 1006  (us, n=20)
1024                                              min=  665  p50=  699  p95=  945  avg=  740  max=  945  (us, n=20)
1025                                              min=  657  p50=  714  p95=  801  avg=  720  max=  801  (us, n=20)
1026                                              min=  571  p50=  714  p95=  807  avg=  702  max=  807  (us, n=20)
1027                                              min=  679  p50=  710  p95=  792  avg=  717  max=  792  (us, n=20)
1028                                              min=  681  p50=  710  p95=  805  avg=  716  max=  805  (us, n=20)
1029                                              min=  445  p50=  699  p95=  742  avg=  654  max=  742  (us, n=20)
1030                                              min=  642  p50=  718  p95=  801  avg=  722  max=  801  (us, n=20)
1031                                              min=  597  p50=  704  p95=  746  avg=  700  max=  746  (us, n=20)
1032                                              min=  644  p50=  714  p95=  773  avg=  709  max=  773  (us, n=20)
1033                                              min=  449  p50=  717  p95=  824  avg=  693  max=  824  (us, n=20)
1034                                              min=  676  p50=  730  p95=  936  avg=  753  max=  936  (us, n=20)
1035                                              min=  698  p50=  748  p95= 1052  avg=  770  max= 1052  (us, n=20)
1036                                              min=  661  p50=  710  p95=  783  avg=  713  max=  783  (us, n=20)
1037                                              min=  644  p50=  702  p95=  756  avg=  701  max=  756  (us, n=20)
1038                                              min=  661  p50=  711  p95=  773  avg=  714  max=  773  (us, n=20)
1039                                              min=  681  p50=  707  p95=  786  avg=  711  max=  786  (us, n=20)
1040                                              min=  627  p50=  717  p95=  870  avg=  727  max=  870  (us, n=20)
1041                                              min=  668  p50=  702  p95=  762  avg=  704  max=  762  (us, n=20)
1042                                              min=  685  p50=  769  p95= 1081  avg=  766  max= 1081  (us, n=20)
1043                                              min=  684  p50=  714  p95=  780  avg=  718  max=  780  (us, n=20)
1044                                              min=  648  p50=  722  p95=  769  avg=  718  max=  769  (us, n=20)
1045                                              min=  627  p50=  766  p95=  937  avg=  763  max=  937  (us, n=20)
1046                                              min=  557  p50=  694  p95=  751  avg=  677  max=  751  (us, n=20)
1047                                              min=  715  p50=  800  p95= 1003  avg=  800  max= 1003  (us, n=20)
1048                                              min=  710  p50=  793  p95=  819  avg=  775  max=  819  (us, n=20)
1049                                              min=  476  p50=  753  p95= 2843  avg=  876  max= 2843  (us, n=20)
1050                                              min=  695  p50=  734  p95=  901  avg=  757  max=  901  (us, n=20)
1051                                              min=  657  p50=  755  p95=  849  avg=  761  max=  849  (us, n=20)
1052                                              min=  698  p50=  734  p95=  912  avg=  752  max=  912  (us, n=20)
1053                                              min=  688  p50=  777  p95= 1098  avg=  795  max= 1098  (us, n=20)
1054                                              min=  691  p50=  756  p95= 1068  avg=  790  max= 1068  (us, n=20)
1055                                              min=  446  p50=  710  p95=  768  avg=  689  max=  768  (us, n=20)
1056                                              min=  702  p50=  724  p95=  817  avg=  731  max=  817  (us, n=20)
1057                                              min=  677  p50=  728  p95=  874  avg=  743  max=  874  (us, n=20)
1058                                              min=  680  p50=  724  p95=  981  avg=  743  max=  981  (us, n=20)
1059                                              min=  680  p50=  735  p95=  817  avg=  730  max=  817  (us, n=20)
1060                                              min=  658  p50=  728  p95=  808  avg=  730  max=  808  (us, n=20)
1061                                              min=  677  p50=  711  p95=  756  avg=  715  max=  756  (us, n=20)
1062                                              min=  683  p50=  723  p95=  958  avg=  737  max=  958  (us, n=20)
1063                                              min=  687  p50=  711  p95=  815  avg=  715  max=  815  (us, n=20)
1064                                              min=  653  p50=  716  p95=  742  avg=  707  max=  742  (us, n=20)
1065                                              min=  640  p50=  726  p95=  806  avg=  718  max=  806  (us, n=20)
1066                                              min=  445  p50=  711  p95=  770  avg=  642  max=  770  (us, n=20)
1067                                              min=  686  p50=  722  p95=  868  avg=  733  max=  868  (us, n=20)
10678                                             min=13793  p50=14365  p95=15244  avg=14485  max=15244  (us, n=20)
10679                                             min=14416  p50=14844  p95=17964  avg=14989  max=17964  (us, n=20)
1068                                              min=  618  p50=  666  p95=  694  avg=  662  max=  694  (us, n=20)
10680                                             min=14738  p50=15993  p95=20077  avg=16454  max=20077  (us, n=20)
1069                                              min=  500  p50=  679  p95= 1032  avg=  693  max= 1032  (us, n=20)
1070                                              min=  443  p50=  665  p95=  734  avg=  630  max=  734  (us, n=20)
1071                                              min=  636  p50=  711  p95=  751  avg=  695  max=  751  (us, n=20)
1072                                              min=  445  p50=  746  p95= 1048  avg=  734  max= 1048  (us, n=20)
1073                                              min=  467  p50=  716  p95=  751  avg=  685  max=  751  (us, n=20)
1074                                              min=  694  p50=  736  p95= 1099  avg=  785  max= 1099  (us, n=20)
1075                                              min=  472  p50=  733  p95= 1155  avg=  731  max= 1155  (us, n=20)
1076                                              min=  480  p50=  722  p95=  756  avg=  689  max=  756  (us, n=20)
1077                                              min=  705  p50=  782  p95= 1068  avg=  812  max= 1068  (us, n=20)
1078                                              min=  740  p50=  768  p95=  846  avg=  780  max=  846  (us, n=20)
1079                                              min=  704  p50=  772  p95= 1052  avg=  785  max= 1052  (us, n=20)
1080                                              min=  453  p50=  742  p95=  960  avg=  721  max=  960  (us, n=20)
1081                                              min=  682  p50=  742  p95=  937  avg=  747  max=  937  (us, n=20)
1082                                              min=  714  p50=  745  p95=  863  avg=  750  max=  863  (us, n=20)
1083                                              min=  668  p50=  726  p95=  773  avg=  725  max=  773  (us, n=20)
1084                                              min=  706  p50=  775  p95= 1016  avg=  778  max= 1016  (us, n=20)
1085                                              min=  639  p50=  775  p95=  833  avg=  761  max=  833  (us, n=20)
1086                                              min=  636  p50=  792  p95=  833  avg=  774  max=  833  (us, n=20)
1087                                              min=  681  p50=  727  p95=  787  avg=  726  max=  787  (us, n=20)
1089                                              min=  664  p50=  724  p95=  858  avg=  724  max=  858  (us, n=20)
1090                                              min=  677  p50=  748  p95=  849  avg=  747  max=  849  (us, n=20)
1092                                              min=  594  p50=  700  p95=  751  avg=  689  max=  751  (us, n=20)
1094                                              min=  448  p50=  722  p95=  801  avg=  689  max=  801  (us, n=20)
1095                                              min=  436  p50=  675  p95=  779  avg=  610  max=  779  (us, n=20)
1096                                              min=  689  p50=  752  p95= 1281  avg=  790  max= 1281  (us, n=20)
1097                                              min=  465  p50=  732  p95=  871  avg=  698  max=  871  (us, n=20)
1098                                              min=  700  p50=  740  p95= 1104  avg=  764  max= 1104  (us, n=20)
1099                                              min=  702  p50=  743  p95=  789  avg=  744  max=  789  (us, n=20)
1100                                              min=  447  p50=  716  p95= 1000  avg=  679  max= 1000  (us, n=20)
1101                                              min=  700  p50=  775  p95= 1021  avg=  789  max= 1021  (us, n=20)
1102                                              min=  661  p50=  705  p95=  733  avg=  700  max=  733  (us, n=20)
1103                                              min=  482  p50=  701  p95=  757  avg=  670  max=  757  (us, n=20)
1104                                              min=  695  p50=  746  p95=  953  avg=  765  max=  953  (us, n=20)
1105                                              min=  494  p50=  692  p95=  745  avg=  685  max=  745  (us, n=20)
1106                                              min=  686  p50=  731  p95=  910  avg=  756  max=  910  (us, n=20)
1107                                              min=  675  p50=  707  p95=  754  avg=  708  max=  754  (us, n=20)
1108                                              min=  684  p50=  735  p95=  906  avg=  735  max=  906  (us, n=20)
1110                                              min=  692  p50=  707  p95=  760  avg=  711  max=  760  (us, n=20)
1111                                              min=  682  p50=  714  p95=  775  avg=  716  max=  775  (us, n=20)
1112                                              min=  613  p50=  722  p95=  972  avg=  741  max=  972  (us, n=20)
1113                                              min=  691  p50=  737  p95=  801  avg=  739  max=  801  (us, n=20)
1114                                              min=  659  p50=  706  p95=  824  avg=  721  max=  824  (us, n=20)
1115                                              min=  449  p50=  725  p95=  877  avg=  726  max=  877  (us, n=20)
1116                                              min=  693  p50=  750  p95=  811  avg=  752  max=  811  (us, n=20)
1117                                              min=  684  p50=  731  p95=  902  avg=  752  max=  902  (us, n=20)
1118                                              min=  689  p50=  717  p95=  903  avg=  728  max=  903  (us, n=20)
1119                                              min=  684  p50=  720  p95=  796  avg=  717  max=  796  (us, n=20)
1120                                              min=  658  p50=  716  p95=  768  avg=  716  max=  768  (us, n=20)
1121                                              min=  675  p50=  692  p95=  745  avg=  699  max=  745  (us, n=20)
1122                                              min=  661  p50=  702  p95= 1038  avg=  730  max= 1038  (us, n=20)
1123                                              min=  672  p50=  706  p95=  745  avg=  708  max=  745  (us, n=20)
1124                                              min=  566  p50=  714  p95=  888  avg=  728  max=  888  (us, n=20)
1125                                              min=  436  p50=  694  p95=  750  avg=  665  max=  750  (us, n=20)
1126                                              min=  649  p50=  720  p95=  982  avg=  726  max=  982  (us, n=20)
1127                                              min=  657  p50=  690  p95=  908  avg=  709  max=  908  (us, n=20)
1128                                              min=  443  p50=  705  p95=  757  avg=  692  max=  757  (us, n=20)
1129                                              min=  678  p50=  699  p95=  755  avg=  709  max=  755  (us, n=20)
1130                                              min=  670  p50=  740  p95=  989  avg=  765  max=  989  (us, n=20)
1131                                              min=  682  p50=  773  p95= 1006  avg=  773  max= 1006  (us, n=20)
1132                                              min=  667  p50=  716  p95=  790  avg=  720  max=  790  (us, n=20)
1133                                              min=  683  p50=  712  p95=  914  avg=  732  max=  914  (us, n=20)
1134                                              min=  672  p50=  708  p95=  747  avg=  707  max=  747  (us, n=20)
1135                                              min=  648  p50=  709  p95=  790  avg=  719  max=  790  (us, n=20)
1136                                              min=  706  p50=  763  p95=  846  avg=  762  max=  846  (us, n=20)
1137                                              min=  556  p50=  749  p95=  822  avg=  738  max=  822  (us, n=20)
1138                                              min=  458  p50=  727  p95=  821  avg=  710  max=  821  (us, n=20)
1139                                              min=  448  p50=  707  p95=  740  avg=  645  max=  740  (us, n=20)
1140                                              min=  610  p50=  758  p95= 1022  avg=  782  max= 1022  (us, n=20)
1141                                              min=  700  p50=  755  p95= 1025  avg=  779  max= 1025  (us, n=20)
1142                                              min=  455  p50=  706  p95=  762  avg=  693  max=  762  (us, n=20)
1143                                              min=  625  p50=  738  p95= 1024  avg=  759  max= 1024  (us, n=20)
1144                                              min=  680  p50=  731  p95= 1000  avg=  738  max= 1000  (us, n=20)
1145                                              min=  673  p50=  725  p95=  780  avg=  719  max=  780  (us, n=20)
1146                                              min=  671  p50=  747  p95=  800  avg=  742  max=  800  (us, n=20)
1147                                              min=  688  p50=  730  p95=  904  avg=  744  max=  904  (us, n=20)
1148                                              min=  686  p50=  741  p95=  996  avg=  762  max=  996  (us, n=20)
1149                                              min=  634  p50=  749  p95=  813  avg=  738  max=  813  (us, n=20)
1150                                              min=  688  p50=  718  p95=  919  avg=  739  max=  919  (us, n=20)
1151                                              min=  448  p50=  716  p95= 1003  avg=  692  max= 1003  (us, n=20)
1152                                              min=  650  p50=  681  p95=  711  avg=  683  max=  711  (us, n=20)
1153                                              min=  674  p50=  732  p95=  976  avg=  755  max=  976  (us, n=20)
1154                                              min=  678  p50=  702  p95=  753  avg=  705  max=  753  (us, n=20)
1155                                              min=  659  p50=  703  p95= 1000  avg=  733  max= 1000  (us, n=20)
1156                                              min=  678  p50=  745  p95= 1043  avg=  768  max= 1043  (us, n=20)
1157                                              min=  702  p50=  720  p95=  781  avg=  727  max=  781  (us, n=20)
1158                                              min=  671  p50=  727  p95=  826  avg=  736  max=  826  (us, n=20)
1159                                              min=  452  p50=  729  p95=  794  avg=  690  max=  794  (us, n=20)
1160                                              min=  693  p50=  770  p95= 1026  avg=  768  max= 1026  (us, n=20)
1161                                              min=  662  p50=  728  p95=  803  avg=  725  max=  803  (us, n=20)
1162                                              min=  449  p50=  731  p95= 1105  avg=  731  max= 1105  (us, n=20)
1163                                              min=  694  p50=  799  p95=  940  avg=  805  max=  940  (us, n=20)
1164                                              min=  698  p50=  721  p95=  915  avg=  734  max=  915  (us, n=20)
1165                                              min=  641  p50=  712  p95=  778  avg=  713  max=  778  (us, n=20)
1166                                              min=  705  p50=  752  p95= 1008  avg=  757  max= 1008  (us, n=20)
1167                                              min=  625  p50=  743  p95= 1034  avg=  776  max= 1034  (us, n=20)
1168                                              min=  598  p50=  745  p95=  974  avg=  742  max=  974  (us, n=20)
1169                                              min=  446  p50=  722  p95= 1095  avg=  697  max= 1095  (us, n=20)
1170                                              min=  686  p50=  723  p95=  801  avg=  727  max=  801  (us, n=20)
