loaded dump dir: ./src/Benchmark/RegressionCases/coverage  (803 samples)  iters=20

sample                                              min    p50    p95    avg    max  (us)
----------------------------------------------------------------------------------------------------
0                                                 min= 1257  p50= 1416  p95= 1811  avg= 1435  max= 1811  (us, n=20)
1                                                 min= 4205  p50= 4497  p95= 5347  avg= 4570  max= 5347  (us, n=20)
10                                                min= 1014  p50= 1209  p95= 1511  avg= 1232  max= 1511  (us, n=20)
100                                               min= 1971  p50= 2038  p95= 2095  avg= 2038  max= 2095  (us, n=20)
101                                               min= 1034  p50= 1115  p95= 1359  avg= 1140  max= 1359  (us, n=20)
102                                               min= 1026  p50= 1246  p95= 1616  avg= 1248  max= 1616  (us, n=20)
103                                               min=  449  p50=  505  p95=  582  avg=  505  max=  582  (us, n=20)
104                                               min= 5535  p50= 5758  p95= 7066  avg= 5934  max= 7066  (us, n=20)
105                                               min= 4565  p50= 4687  p95= 6088  avg= 4884  max= 6088  (us, n=20)
106                                               min=  535  p50=  596  p95=  858  avg=  604  max=  858  (us, n=20)
10647                                             min= 1992  p50= 2185  p95= 2520  avg= 2219  max= 2520  (us, n=20)
10648                                             min= 2263  p50= 2379  p95= 2678  avg= 2425  max= 2678  (us, n=20)
10649                                             min=13762  p50=14785  p95=15687  avg=14796  max=15687  (us, n=20)
10650                                             min=14923  p50=16059  p95=18575  avg=16221  max=18575  (us, n=20)
10651                                             min=15437  p50=17403  p95=20784  avg=17598  max=20784  (us, n=20)
10652                                             min=14745  p50=16261  p95=20012  avg=16459  max=20012  (us, n=20)
10653                                             min=13616  p50=14754  p95=16733  avg=14865  max=16733  (us, n=20)
10654                                             min=13424  p50=15623  p95=20707  avg=15601  max=20707  (us, n=20)
10667                                             min= 4421  p50= 4768  p95= 6528  avg= 4979  max= 6528  (us, n=20)
10668                                             min= 2436  p50= 3043  p95= 4171  avg= 3109  max= 4171  (us, n=20)
10669                                             min=11194  p50=12844  p95=14732  avg=12794  max=14732  (us, n=20)
10670                                             min=10715  p50=12972  p95=16408  avg=13058  max=16408  (us, n=20)
10671                                             min=10569  p50=12138  p95=15325  avg=12537  max=15325  (us, n=20)
10672                                             min=11109  p50=13201  p95=15331  avg=12783  max=15331  (us, n=20)
10673                                             min= 5434  p50= 5989  p95= 8556  avg= 6421  max= 8556  (us, n=20)
10674                                             min=  693  p50=  699  p95=  874  avg=  713  max=  874  (us, n=20)
10675                                             min=13218  p50=14350  p95=15321  avg=14211  max=15321  (us, n=20)
10676                                             min=13329  p50=14059  p95=16158  avg=14143  max=16158  (us, n=20)
10677                                             min=13111  p50=13923  p95=15061  avg=13965  max=15061  (us, n=20)
107                                               min= 4601  p50= 5167  p95= 6204  avg= 5246  max= 6204  (us, n=20)
108                                               min=  960  p50= 1067  p95= 1304  avg= 1071  max= 1304  (us, n=20)
1088                                              min=   84  p50=   85  p95=  349  avg=  107  max=  349  (us, n=20)
109                                               min= 3872  p50= 3998  p95= 4474  avg= 4062  max= 4474  (us, n=20)
1091                                              min=   74  p50=   75  p95=  103  avg=   77  max=  103  (us, n=20)
1093                                              min=   74  p50=   75  p95=  192  avg=   83  max=  192  (us, n=20)
11                                                min=  841  p50=  895  p95= 1263  avg=  953  max= 1263  (us, n=20)
110                                               min= 2059  p50= 2108  p95= 2214  avg= 2111  max= 2214  (us, n=20)
1109                                              min=   76  p50=   78  p95=  109  avg=   81  max=  109  (us, n=20)
111                                               min= 1040  p50= 1194  p95= 1489  avg= 1203  max= 1489  (us, n=20)
112                                               min= 1662  p50= 1719  p95= 2288  avg= 1826  max= 2288  (us, n=20)
113                                               min=  814  p50=  820  p95=  895  avg=  825  max=  895  (us, n=20)
114                                               min=  827  p50=  879  p95= 1385  avg=  942  max= 1385  (us, n=20)
115                                               min=  342  p50=  349  p95=  501  avg=  374  max=  501  (us, n=20)
116                                               min= 5525  p50= 6384  p95= 6735  avg= 6278  max= 6735  (us, n=20)
117                                               min= 4366  p50= 4886  p95= 5716  avg= 4849  max= 5716  (us, n=20)
118                                               min=  405  p50=  410  p95=  551  avg=  422  max=  551  (us, n=20)
119                                               min= 4811  p50= 5483  p95= 6147  avg= 5395  max= 6147  (us, n=20)
1193                                              min=   79  p50=   80  p95=  168  avg=   86  max=  168  (us, n=20)
1194                                              min=   79  p50=   80  p95=   88  avg=   80  max=   88  (us, n=20)
11953                                             min= 1401  p50= 1560  p95= 1833  avg= 1574  max= 1833  (us, n=20)
12                                                min=  355  p50=  364  p95=  730  avg=  414  max=  730  (us, n=20)
