loaded dump dir: ./src/Benchmark/RegressionCases/perf  (1402 samples)  iters=20

sample                                              min    p50    p95    avg    max  (us)
----------------------------------------------------------------------------------------------------
1000                                              min=   68  p50=   68  p95=   98  avg=   70  max=   98  (us, n=20)
1001                                              min=   74  p50=   75  p95=  109  avg=   77  max=  109  (us, n=20)
1002                                              min=   74  p50=   75  p95=   79  avg=   75  max=   79  (us, n=20)
1003                                              min=   69  p50=   70  p95=   73  avg=   69  max=   73  (us, n=20)
1004                                              min=   80  p50=   80  p95=   86  avg=   80  max=   86  (us, n=20)
1005                                              min=   75  p50=   75  p95=   80  avg=   75  max=   80  (us, n=20)
1006                                              min=   75  p50=   75  p95=  241  avg=   93  max=  241  (us, n=20)
1007                                              min=   68  p50=   69  p95=  157  avg=   76  max=  157  (us, n=20)
1008                                              min=   73  p50=   73  p95=   88  avg=   73  max=   88  (us, n=20)
1009                                              min=   70  p50=   70  p95=   76  avg=   70  max=   76  (us, n=20)
1010                                              min=   67  p50=   67  p95=   69  avg=   67  max=   69  (us, n=20)
1011                                              min=   68  p50=   69  p95=  232  avg=   79  max=  232  (us, n=20)
1012                                              min=   72  p50=   73  p95=   82  avg=   73  max=   82  (us, n=20)
1013                                              min=   68  p50=   68  p95=   72  avg=   68  max=   72  (us, n=20)
1014                                              min=   69  p50=   69  p95=   73  avg=   69  max=   73  (us, n=20)
1015                                              min=   69  p50=   69  p95=   72  avg=   69  max=   72  (us, n=20)
1016                                              min=   75  p50=   76  p95=   80  avg=   76  max=   80  (us, n=20)
1017                                              min=   65  p50=   65  p95=   70  avg=   65  max=   70  (us, n=20)
1018                                              min=   74  p50=   75  p95=   79  avg=   75  max=   79  (us, n=20)
1019                                              min=   65  p50=   65  p95=   70  avg=   65  max=   70  (us, n=20)
1020                                              min=   64  p50=   65  p95=  114  avg=   71  max=  114  (us, n=20)
1021                                              min=   65  p50=   65  p95=   69  avg=   65  max=   69  (us, n=20)
1022                                              min=   70  p50=   71  p95=  101  avg=   73  max=  101  (us, n=20)
1023                                              min=   64  p50=   65  p95=   82  avg=   66  max=   82  (us, n=20)
1024                                              min=   67  p50=   67  p95=   71  avg=   67  max=   71  (us, n=20)
1025                                              min=   72  p50=   73  p95=   77  avg=   73  max=   77  (us, n=20)
1026                                              min=   73  p50=   73  p95=   79  avg=   73  max=   79  (us, n=20)
1027                                              min=   69  p50=   69  p95=  109  avg=   75  max=  109  (us, n=20)
1028                                              min=   71  p50=   73  p95=  107  avg=   77  max=  107  (us, n=20)
1029                                              min=   67  p50=   67  p95=   71  avg=   67  max=   71  (us, n=20)
