loaded dump dir: ./src/Benchmark/RegressionCases/perf  (1402 samples)  iters=20

sample                                              min    p50    p95    avg    max  (us)
----------------------------------------------------------------------------------------------------
1000                                              min=   72  p50=   73  p95=  187  avg=   90  max=  187  (us, n=20)
1001                                              min=   78  p50=   79  p95=  119  avg=   81  max=  119  (us, n=20)
1002                                              min=   78  p50=   79  p95=  108  avg=   81  max=  108  (us, n=20)
1003                                              min=   72  p50=   73  p95=   96  avg=   76  max=   96  (us, n=20)
1004                                              min=   84  p50=   87  p95=  113  avg=   91  max=  113  (us, n=20)
1005                                              min=   80  p50=   80  p95=  108  avg=   83  max=  108  (us, n=20)
1006                                              min=   79  p50=   83  p95=  174  avg=   90  max=  174  (us, n=20)
1007                                              min=   73  p50=   73  p95=   78  avg=   73  max=   78  (us, n=20)
1008                                              min=   77  p50=   78  p95=  109  avg=   84  max=  109  (us, n=20)
1009                                              min=   74  p50=   75  p95=  106  avg=   79  max=  106  (us, n=20)
1010                                              min=   71  p50=   71  p95=   84  avg=   73  max=   84  (us, n=20)
1011                                              min=   73  p50=   74  p95=  100  avg=   77  max=  100  (us, n=20)
1012                                              min=   77  p50=   92  p95=  197  avg=   94  max=  197  (us, n=20)
1013                                              min=   71  p50=   72  p95=   93  avg=   73  max=   93  (us, n=20)
1014                                              min=   73  p50=   75  p95=  104  avg=   79  max=  104  (us, n=20)
1015                                              min=   72  p50=   73  p95=   77  avg=   73  max=   77  (us, n=20)
1016                                              min=   80  p50=   81  p95=  106  avg=   84  max=  106  (us, n=20)
1017                                              min=   69  p50=   69  p95=  101  avg=   71  max=  101  (us, n=20)
1018                                              min=   78  p50=   79  p95=  166  avg=   87  max=  166  (us, n=20)
1019                                              min=   69  p50=   71  p95=  256  avg=   91  max=  256  (us, n=20)
1020                                              min=   68  p50=   68  p95=  173  avg=   73  max=  173  (us, n=20)
1021                                              min=   70  p50=   70  p95=  160  avg=   75  max=  160  (us, n=20)
1022                                              min=   74  p50=   75  p95=  211  avg=   96  max=  211  (us, n=20)
1023                                              min=   68  p50=   68  p95=   68  avg=   68  max=   68  (us, n=20)
1024                                              min=   71  p50=   73  p95=  164  avg=   90  max=  164  (us, n=20)
1025                                              min=   77  p50=  108  p95=  249  avg=  117  max=  249  (us, n=20)
1026                                              min=   77  p50=   78  p95=  188  avg=   83  max=  188  (us, n=20)
1027                                              min=   73  p50=   73  p95=  112  avg=   76  max=  112  (us, n=20)
1028                                              min=   76  p50=   77  p95=  206  avg=   91  max=  206  (us, n=20)
1029                                              min=   71  p50=   71  p95=  181  avg=   76  max=  181  (us, n=20)
1030                                              min=   77  p50=   78  p95=   98  avg=   79  max=   98  (us, n=20)
1031                                              min=   70  p50=   70  p95=   74  avg=   70  max=   74  (us, n=20)
1032                                              min=   73  p50=   73  p95=   93  avg=   74  max=   93  (us, n=20)
1033                                              min=   78  p50=   78  p95=   81  avg=   78  max=   81  (us, n=20)
1034                                              min=   67  p50=   67  p95=   70  avg=   67  max=   70  (us, n=20)
1035                                              min=   83  p50=   83  p95=   88  avg=   83  max=   88  (us, n=20)
1036                                              min=   63  p50=   67  p95=  107  avg=   74  max=  107  (us, n=20)
1037                                              min=   79  p50=   79  p95=   81  avg=   79  max=   81  (us, n=20)
1038                                              min=   77  p50=   80  p95=  118  avg=   85  max=  118  (us, n=20)
1039                                              min=   58  p50=   58  p95=   84  avg=   60  max=   84  (us, n=20)
1040                                              min=   77  p50=   77  p95=  107  avg=   81  max=  107  (us, n=20)
1041                                              min=   79  p50=   80  p95=  106  avg=   83  max=  106  (us, n=20)
1042                                              min=   76  p50=   76  p95=  141  avg=   81  max=  141  (us, n=20)
1043                                              min=   68  p50=   68  p95=  152  avg=   77  max=  152  (us, n=20)
1044                                              min=   71  p50=   72  p95=  178  avg=   85  max=  178  (us, n=20)
1045                                              min=   79  p50=   79  p95=   79  avg=   79  max=   79  (us, n=20)
1046                                              min=   80  p50=   80  p95=  201  avg=   93  max=  201  (us, n=20)
1047                                              min=   71  p50=   72  p95=  178  avg=   81  max=  178  (us, n=20)
1048                                              min=   76  p50=  112  p95=  119  avg=  109  max=  119  (us, n=20)
1049                                              min=   71  p50=   72  p95=  101  avg=   74  max=  101  (us, n=20)
1050                                              min=   75  p50=   76  p95=  102  avg=   79  max=  102  (us, n=20)
1051                                              min=   73  p50=   74  p95=   76  avg=   73  max=   76  (us, n=20)
1052                                              min=   79  p50=   79  p95=   98  avg=   83  max=   98  (us, n=20)
1053                                              min=   81  p50=   81  p95=  249  avg=   98  max=  249  (us, n=20)
1054                                              min=   77  p50=   77  p95=  117  avg=   81  max=  117  (us, n=20)
1055                                              min=   74  p50=   78  p95=  110  avg=   83  max=  110  (us, n=20)
1056                                              min=   79  p50=   79  p95=  108  avg=   82  max=  108  (us, n=20)
1057                                              min=   69  p50=   69  p95=   92  avg=   71  max=   92  (us, n=20)
1058                                              min=   78  p50=   78  p95=  115  avg=   83  max=  115  (us, n=20)
1059                                              min=   73  p50=   74  p95=  108  avg=   77  max=  108  (us, n=20)
1060                                              min=   63  p50=   63  p95=   90  avg=   66  max=   90  (us, n=20)
1061                                              min=   77  p50=   78  p95=  119  avg=   80  max=  119  (us, n=20)
1062                                              min=   78  p50=   79  p95=  110  avg=   81  max=  110  (us, n=20)
1063                                              min=   78  p50=   80  p95=  113  avg=   86  max=  113  (us, n=20)
1064                                              min=   75  p50=   76  p95=  100  avg=   77  max=  100  (us, n=20)
1065                                              min=   76  p50=   77  p95=  150  avg=   86  max=  150  (us, n=20)
1066                                              min=   75  p50=   77  p95=  108  avg=   80  max=  108  (us, n=20)
1067                                              min=   74  p50=   74  p95=   84  avg=   74  max=   84  (us, n=20)
10678                                             min=14955  p50=15790  p95=17143  avg=15909  max=17143  (us, n=20)
10679                                             min=14374  p50=15375  p95=16236  avg=15332  max=16236  (us, n=20)
1068                                              min=   85  p50=   86  p95=   90  avg=   86  max=   90  (us, n=20)
10680                                             min=14933  p50=15816  p95=18608  avg=15829  max=18608  (us, n=20)
1069                                              min=   72  p50=   72  p95=  184  avg=   84  max=  184  (us, n=20)
1070                                              min=   76  p50=   77  p95=  186  avg=   82  max=  186  (us, n=20)
1071                                              min=   79  p50=   80  p95=  173  avg=   87  max=  173  (us, n=20)
1072                                              min=   61  p50=   61  p95=  192  avg=   71  max=  192  (us, n=20)
