loaded dump dir: ../../../src/Benchmark/RegressionCases/coverage  (803 samples)  iters=20

sample                                              min    p50    p95    avg    max  (us)
----------------------------------------------------------------------------------------------------
0                                                 min= 1228  p50= 1368  p95= 2011  avg= 1376  max= 2011  (us, n=20)
1                                                 min= 3979  p50= 4185  p95= 4624  avg= 4217  max= 4624  (us, n=20)
10                                                min=  988  p50= 1027  p95= 1149  avg= 1033  max= 1149  (us, n=20)
100                                               min= 2001  p50= 2058  p95= 2177  avg= 2065  max= 2177  (us, n=20)
101                                               min=  865  p50= 1008  p95= 1238  avg= 1001  max= 1238  (us, n=20)
102                                               min=  876  p50= 1040  p95= 1266  avg= 1028  max= 1266  (us, n=20)
103                                               min=  335  p50=  445  p95=  544  avg=  434  max=  544  (us, n=20)
104                                               min= 5482  p50= 5645  p95= 6405  avg= 5756  max= 6405  (us, n=20)
105                                               min= 4457  p50= 4546  p95= 4703  avg= 4556  max= 4703  (us, n=20)
106                                               min=  483  p50=  532  p95=  674  avg=  534  max=  674  (us, n=20)
10647                                             min= 1883  p50= 2004  p95= 2415  avg= 2031  max= 2415  (us, n=20)
10648                                             min= 2190  p50= 2270  p95= 2473  avg= 2286  max= 2473  (us, n=20)
10649                                             min=13013  p50=13506  p95=14751  avg=13635  max=14751  (us, n=20)
10650                                             min=12740  p50=13533  p95=14311  avg=13506  max=14311  (us, n=20)
10651                                             min=13107  p50=13462  p95=14429  avg=13528  max=14429  (us, n=20)
10652                                             min=13237  p50=13504  p95=14394  avg=13639  max=14394  (us, n=20)
10653                                             min=12954  p50=13381  p95=13987  avg=13362  max=13987  (us, n=20)
10654                                             min=12758  p50=13158  p95=14476  avg=13252  max=14476  (us, n=20)
10667                                             min= 4177  p50= 4525  p95= 5106  avg= 4546  max= 5106  (us, n=20)
10668                                             min= 2272  p50= 2541  p95= 3017  avg= 2527  max= 3017  (us, n=20)
10669                                             min= 9534  p50=10172  p95=11947  avg=10245  max=11947  (us, n=20)
10670                                             min= 9725  p50=10227  p95=12510  avg=10443  max=12510  (us, n=20)
10671                                             min= 9346  p50= 9727  p95=10247  avg= 9747  max=10247  (us, n=20)
10672                                             min= 9497  p50= 9853  p95=11645  avg= 9962  max=11645  (us, n=20)
10673                                             min= 4936  p50= 5048  p95= 6077  avg= 5139  max= 6077  (us, n=20)
10674                                             min=  658  p50=  662  p95=  804  avg=  680  max=  804  (us, n=20)
10675                                             min=11703  p50=12631  p95=14471  avg=12817  max=14471  (us, n=20)
10676                                             min=12013  p50=12756  p95=17133  avg=12974  max=17133  (us, n=20)
10677                                             min=12510  p50=13356  p95=17631  avg=13791  max=17631  (us, n=20)
107                                               min= 4674  p50= 5017  p95= 5812  avg= 5054  max= 5812  (us, n=20)
108                                               min=  948  p50=  994  p95= 1136  avg= 1014  max= 1136  (us, n=20)
1088                                              min=   83  p50=   84  p95=  115  avg=   86  max=  115  (us, n=20)
109                                               min= 4013  p50= 4179  p95= 4555  avg= 4207  max= 4555  (us, n=20)
1091                                              min=   71  p50=   71  p95=  106  avg=   74  max=  106  (us, n=20)
1093                                              min=   73  p50=   73  p95=   82  avg=   73  max=   82  (us, n=20)
11                                                min=  808  p50=  833  p95= 1189  avg=  872  max= 1189  (us, n=20)
110                                               min= 2009  p50= 2228  p95= 2519  avg= 2233  max= 2519  (us, n=20)
1109                                              min=   75  p50=   75  p95=   78  avg=   75  max=   78  (us, n=20)
111                                               min= 1011  p50= 1028  p95= 1191  avg= 1053  max= 1191  (us, n=20)
112                                               min= 1654  p50= 1773  p95= 2133  avg= 1815  max= 2133  (us, n=20)
113                                               min=  795  p50=  806  p95= 1078  avg=  865  max= 1078  (us, n=20)
114                                               min=  808  p50=  832  p95=  943  avg=  843  max=  943  (us, n=20)
115                                               min=  330  p50=  332  p95=  466  avg=  346  max=  466  (us, n=20)
116                                               min= 5443  p50= 5655  p95= 6619  avg= 5804  max= 6619  (us, n=20)
117                                               min= 4378  p50= 4483  p95= 4822  avg= 4504  max= 4822  (us, n=20)
118                                               min=  402  p50=  406  p95=  511  avg=  426  max=  511  (us, n=20)
119                                               min= 4473  p50= 5152  p95= 5648  avg= 5094  max= 5648  (us, n=20)
1193                                              min=   77  p50=   78  p95=   81  avg=   78  max=   81  (us, n=20)
1194                                              min=   78  p50=   78  p95=   78  avg=   78  max=   78  (us, n=20)
11953                                             min= 1352  p50= 1369  p95= 1381  avg= 1368  max= 1381  (us, n=20)
12                                                min=  334  p50=  338  p95=  346  avg=  338  max=  346  (us, n=20)
120                                               min=  916  p50=  935  p95= 1431  avg=  973  max= 1431  (us, n=20)
121                                               min= 3630  p50= 3737  p95= 4213  avg= 3795  max= 4213  (us, n=20)
122                                               min= 1960  p50= 2169  p95= 2367  avg= 2140  max= 2367  (us, n=20)
123                                               min=  976  p50=  981  p95= 1130  avg=  993  max= 1130  (us, n=20)
124                                               min= 1592  p50= 1608  p95= 2085  avg= 1701  max= 2085  (us, n=20)
125                                               min=  772  p50=  779  p95=  803  avg=  780  max=  803  (us, n=20)
126                                               min=  797  p50=  868  p95= 1080  avg=  881  max= 1080  (us, n=20)
127                                               min=  322  p50=  327  p95=  332  avg=  326  max=  332  (us, n=20)
128                                               min= 5175  p50= 5295  p95= 6042  avg= 5346  max= 6042  (us, n=20)
129                                               min= 4179  p50= 4213  p95= 4348  avg= 4228  max= 4348  (us, n=20)
13                                                min= 5102  p50= 5211  p95= 5987  avg= 5234  max= 5987  (us, n=20)
130                                               min=  388  p50=  399  p95=  646  avg=  437  max=  646  (us, n=20)
1300                                              min=   68  p50=   68  p95=   72  avg=   68  max=   72  (us, n=20)
131                                               min= 4292  p50= 4894  p95= 5638  avg= 4929  max= 5638  (us, n=20)
132                                               min=  915  p50=  943  p95= 1293  avg= 1006  max= 1293  (us, n=20)
133                                               min= 3698  p50= 3809  p95= 4198  avg= 3861  max= 4198  (us, n=20)
134                                               min= 1960  p50= 2022  p95= 2135  avg= 2010  max= 2135  (us, n=20)
135                                               min=  992  p50=  994  p95= 1045  avg=  996  max= 1045  (us, n=20)
1351                                              min=   69  p50=   69  p95=   75  avg=   69  max=   75  (us, n=20)
1353                                              min=   65  p50=   66  p95=   74  avg=   66  max=   74  (us, n=20)
1354                                              min=   75  p50=   75  p95=   85  avg=   76  max=   85  (us, n=20)
1355                                              min=   65  p50=   66  p95=   66  avg=   65  max=   66  (us, n=20)
136                                               min= 1601  p50= 1621  p95= 2132  avg= 1692  max= 2132  (us, n=20)
137                                               min=  773  p50=  812  p95= 1024  avg=  855  max= 1024  (us, n=20)
138                                               min=  787  p50=  811  p95= 1134  avg=  858  max= 1134  (us, n=20)
139                                               min=  320  p50=  322  p95=  819  avg=  402  max=  819  (us, n=20)
14                                                min= 4420  p50= 4648  p95= 5368  avg= 4679  max= 5368  (us, n=20)
140                                               min= 5304  p50= 5452  p95= 6254  avg= 5591  max= 6254  (us, n=20)
141                                               min= 4361  p50= 4662  p95= 5439  avg= 4717  max= 5439  (us, n=20)
142                                               min=  389  p50=  394  p95=  460  avg=  399  max=  460  (us, n=20)
143                                               min= 4345  p50= 4518  p95= 5014  avg= 4581  max= 5014  (us, n=20)
144                                               min=  920  p50=  955  p95= 1257  avg= 1005  max= 1257  (us, n=20)
145                                               min= 3849  p50= 4003  p95= 4437  avg= 4023  max= 4437  (us, n=20)
146                                               min= 2037  p50= 2201  p95= 2544  avg= 2218  max= 2544  (us, n=20)
147                                               min= 1044  p50= 1062  p95= 1256  avg= 1080  max= 1256  (us, n=20)
148                                               min= 1693  p50= 1786  p95= 2319  avg= 1830  max= 2319  (us, n=20)
15                                                min= 1118  p50= 1220  p95= 1409  avg= 1211  max= 1409  (us, n=20)
151                                               min=  335  p50=  342  p95=  460  avg=  353  max=  460  (us, n=20)
152                                               min= 5270  p50= 5474  p95= 6420  avg= 5621  max= 6420  (us, n=20)
153                                               min= 4224  p50= 4310  p95= 4597  avg= 4355  max= 4597  (us, n=20)
154                                               min=  388  p50=  390  p95=  510  avg=  408  max=  510  (us, n=20)
155                                               min= 4527  p50= 4765  p95= 6256  avg= 4877  max= 6256  (us, n=20)
157                                               min= 3846  p50= 4011  p95= 4663  avg= 4060  max= 4663  (us, n=20)
158                                               min= 1938  p50= 2111  p95= 2342  avg= 2111  max= 2342  (us, n=20)
16                                                min= 1668  p50= 1780  p95= 2286  avg= 1812  max= 2286  (us, n=20)
160                                               min= 1577  p50= 1688  p95= 1944  avg= 1694  max= 1944  (us, n=20)
163                                               min=  315  p50=  317  p95=  322  avg=  316  max=  322  (us, n=20)
164                                               min= 5427  p50= 5774  p95= 6823  avg= 5935  max= 6823  (us, n=20)
165                                               min= 4171  p50= 4263  p95= 5044  avg= 4334  max= 5044  (us, n=20)
166                                               min= 4285  p50= 4454  p95= 5005  avg= 4466  max= 5005  (us, n=20)
167                                               min= 4362  p50= 4613  p95= 4798  avg= 4603  max= 4798  (us, n=20)
168                                               min= 4218  p50= 4269  p95= 4872  avg= 4381  max= 4872  (us, n=20)
169                                               min=  390  p50=  392  p95=  412  avg=  393  max=  412  (us, n=20)
17                                                min= 5072  p50= 5249  p95= 5836  avg= 5340  max= 5836  (us, n=20)
170                                               min= 4402  p50= 5438  p95= 7278  avg= 5453  max= 7278  (us, n=20)
172                                               min= 3757  p50= 3848  p95= 4180  avg= 3898  max= 4180  (us, n=20)
173                                               min= 1990  p50= 2127  p95= 3112  avg= 2198  max= 3112  (us, n=20)
1734                                              min=  144  p50=  145  p95=  148  avg=  145  max=  148  (us, n=20)
1735                                              min=  143  p50=  144  p95=  149  avg=  144  max=  149  (us, n=20)
1736                                              min=  143  p50=  144  p95=  146  avg=  144  max=  146  (us, n=20)
1737                                              min=  144  p50=  145  p95=  271  avg=  167  max=  271  (us, n=20)
1738                                              min=  144  p50=  145  p95=  149  avg=  145  max=  149  (us, n=20)
1739                                              min=  144  p50=  145  p95=  148  avg=  145  max=  148  (us, n=20)
1740                                              min=  143  p50=  144  p95=  169  avg=  145  max=  169  (us, n=20)
1741                                              min=  144  p50=  145  p95=  149  avg=  145  max=  149  (us, n=20)
1742                                              min=  144  p50=  145  p95=  151  avg=  145  max=  151  (us, n=20)
1743                                              min=  144  p50=  145  p95=  180  avg=  147  max=  180  (us, n=20)
